R00791,C00244
R00792,C00244
R00793,C00192
R00794,C00244
R00796,C00244
R00799,C01837
R00800,C00088
R00801,C00089
R00801,C00089
R00802,C00089
R00802,C00089
R00803,C00089
R00803,C00089
R00803,C00095
R00803,C00103
R00805,C02591
R00806,C00029
R00807,C00089
R00811,C00089
R00812,C04091
R00813,C06321
R00815,C00146
R00816,C00090
R00817,C00090
R00818,C00805
R00821,C00196
R00822,C00090
R00822,C00230
R00823,C00108
R00823,C00108
R00825,C00108
R00825,C00108
R00829,C02232
R00829,C02232
R00830,C00037
R00832,C00062
R00833,C00091
R00833,C01213
R00837,C00092
R00837,C00689
R00838,C00092
R00838,C02995
R00840,C00092
R00840,C01177
R00841,C00093
R00842,C00093
R00842,C00111
R00844,C00093
R00844,C00111
R00846,C00093
R00846,C00111
R00847,C00116
R00848,C00093
R00848,C00111
R00851,C00040
R00851,C00093
R00855,C00513
R00856,C00093
R00858,C00094
R00859,C00094
R00861,C00094
R00863,C00606
R00863,C00606
R00864,C00087
R00864,C00094
R00864,C00320
R00864,C00320
R00865,C00392
R00866,C00095
R00867,C00095
R00868,C00095
R00868,C00392
R00870,C00095
R00870,C00392
R00872,C03267
R00875,C00095
R00875,C00794
R00877,C00095
R00877,C00159
R00878,C00095
R00878,C00267
R00879,C01355
R00880,C00096
R00881,C00096
R00883,C00636
R00885,C00636
R00887,C00096
R00888,C00096
R00889,C00096
R00889,C02280
R00890,C00096
R00891,C00065
R00892,C00097
R00892,C00491
R00893,C00097
R00894,C00025
R00894,C00097
R00895,C00957
R00896,C00957
R00897,C00283
R00897,C00283
R00897,C00979
R00897,C00979
R00899,C01419
R00899,C01419
R00900,C00051
R00900,C00097
R00900,C05526
R00900,C05526
R00901,C00097
R00903,C00097
R00904,C05665
R00905,C00099
R00905,C02642
R00907,C00099
R00907,C00222
R00908,C00099
R00908,C00222
R00909,C01073
R00910,C00099
R00910,C05341
R00911,C05341
R00912,C00099
R00914,C00099
R00914,C02335
R00915,C00099
R00916,C05669
R00917,C05670
R00918,C00100
R00918,C02557
R00919,C00100
R00919,C00894
R00920,C00100
R00920,C00163
R00921,C02876
R00923,C00683
R00924,C00100
R00924,C00894
R00926,C00100
R00926,C05983
R00927,C03344
R00927,C03344
R00928,C00024
R00928,C00033
R00928,C00100
R00928,C00163
R00930,C00100
R00930,C00683
R00931,C00100
R00932,C00048
R00932,C00100
R00934,C00048
R00934,C00100
R00935,C06002
R00936,C00415
R00937,C00504
R00939,C00101
R00939,C00415
R00940,C00504
R00941,C00234
R00942,C00101
R00942,C09332
R00943,C00058
R00943,C00101
R00943,C00234
R00944,C00234
R00944,C00234
R00945,C00037
R00945,C00065
R00945,C00065
R00945,C00101
R00945,C00143
R00945,C00143
R00946,C00101
R00946,C00155
R00946,C00440
R00947,C00103
R00948,C00103
R00948,C00498
R00949,C00103
R00951,C00498
R00952,C00031
R00952,C00103
R00952,C00185
R00952,C00185
R00954,C00103
R00955,C00029
R00955,C00029
R00955,C00052
R00955,C00052
R00955,C00103
R00955,C00103
R00955,C00446
R00955,C00446
R00956,C00103
R00956,C00501
R00959,C00103
R00959,C00668
R00960,C00103
R00960,C00103
R00961,C00104
R00962,C00475
R00963,C00105
R00964,C00299
R00965,C01103
R00966,C00105
R00966,C00106
R00967,C00299
R00968,C00299
R00969,C06198
R00970,C00299
R00974,C00380
R00976,C00106
R00977,C00106
R00977,C00429
R00978,C00106
R00978,C00429
R00980,C00108
R00980,C00196
R00982,C00108
R00983,C02775
R00984,C00108
R00985,C00251
R00986,C00251
R00987,C00328
R00988,C05653
R00991,C05835
R00992,C00108
R00993,C00109
R00994,C00109
R00994,C06032
R00995,C06030
R00996,C00188
R00997,C00109
R00997,C01234
R00998,C00024
R00999,C00109
R00999,C01118
R01000,C05984
R01001,C00097
R01001,C00109
R01001,C02291
R01001,C02291
R01003,C00110
R01004,C00621
R01005,C00110
R01005,C01246
R01006,C01246
R01009,C00096
R01009,C00110
R01011,C00184
R01013,C00111
R01015,C00111
R01015,C00118
R01016,C00111
R01018,C00381
R01019,C00033
R01019,C00084
R01021,C00114
R01021,C00588
R01022,C00114
R01023,C00114
R01025,C00114
R01026,C01996
R01027,C00053
R01030,C00670
R01030,C00670
R01033,C02357
R01034,C00116
R01034,C00184
R01036,C00116
R01036,C00577
R01039,C00116
R01039,C00184
R01041,C00116
R01047,C00116
R01048,C00116
R01049,C00117
R01049,C00119
R01051,C00117
R01051,C00121
R01053,C00117
R01054,C00301
R01055,C00106
R01055,C01168
R01056,C00117
R01056,C00199
R01057,C00117
R01057,C00620
R01058,C00118
R01059,C00577
R01061,C00118
R01061,C00236
R01063,C00118
R01063,C00236
R01064,C01286
R01066,C00118
R01066,C00673
R01067,C00085
R01067,C00085
R01067,C00118
R01067,C00118
R01068,C00111
R01068,C00118
R01069,C00111
R01069,C00118
R01069,C03785
R01069,C03785
R01070,C00111
R01070,C00118
R01070,C05378
R01070,C05378
R01071,C00119
R01071,C02739
R01072,C00064
R01072,C00119
R01073,C00108
R01073,C04302
R01074,C00120
R01077,C05552
R01077,C05552
R01078,C01909
R01080,C00299
R01082,C00122
R01082,C00149
R01083,C00122
R01083,C03794
R01083,C03794
R01085,C02514
R01085,C02514
R01086,C00062
R01086,C00122
R01086,C03406
R01086,C03406
R01087,C00122
R01087,C01384
R01088,C00123
R01088,C00233
R01090,C00123
R01090,C00233
R01091,C00123
R01091,C02486
R01092,C00124
R01092,C00446
R01093,C00124
R01093,C01697
R01094,C00124
R01095,C00124
R01095,C01697
R01097,C00124
R01098,C00124
R01101,C05402
R01101,C05402
R01103,C00492
R01103,C00492
R01104,C00116
R01104,C00124
R01104,C05401
R01104,C05401
R01105,C05796
R01106,C00244
R01108,C00051
R01108,C00127
R01108,C05422
R01109,C00051
R01109,C00127
R01110,C00051
R01110,C00127
R01111,C00051
R01111,C00127
R01113,C00491
R01115,C00128
R01115,C00128
R01115,C00999
R01115,C00999
R01117,C00128
R01117,C00270
R01118,C00128
R01119,C00128
R01120,C00128
R01121,C01143
R01122,C00066
R01122,C00129
R01123,C00129
R01123,C00235
R01126,C00130
R01127,C00130
R01127,C04734
R01128,C00130
R01128,C00262
R01130,C00130
R01130,C00655
R01131,C00130
R01131,C00294
R01132,C00130
R01132,C00262
R01134,C00144
R01135,C00049
R01135,C00130
R01135,C03794
